"Date","Price","Open","High","Low","Vol.","Change %"
"04/26/2024","97.71","99.00","99.22","97.62","1.99M","-1.33%"
"04/25/2024","99.03","98.84","99.61","98.01","2.54M","0.07%"
"04/24/2024","98.96","97.51","99.19","96.68","2.65M","0.77%"
"04/23/2024","98.20","98.11","99.05","97.90","2.15M","0.08%"
"04/22/2024","98.12","98.13","98.50","97.70","2.93M","-0.12%"
"04/19/2024","98.24","96.10","98.40","95.98","4.21M","2.41%"
"04/18/2024","95.93","94.91","96.03","94.21","2.64M","1.51%"
"04/17/2024","94.50","93.57","94.75","93.20","1.77M","1.76%"
"04/16/2024","92.87","94.00","94.00","92.75","2.66M","-1.34%"
"04/15/2024","94.13","95.45","95.63","93.68","2.62M","-0.81%"
"04/12/2024","94.90","95.64","95.92","94.61","2.28M","-0.41%"
"04/11/2024","95.29","96.22","96.23","94.51","2.12M","-0.13%"
"04/10/2024","95.41","95.71","96.08","94.51","2.48M","-1.96%"
"04/09/2024","97.32","96.70","97.49","96.11","2.46M","1.05%"
"04/08/2024","96.31","95.63","96.55","95.54","2.35M","0.42%"
"04/05/2024","95.91","95.72","96.20","95.16","2.53M","-0.22%"
"04/04/2024","96.12","96.74","96.87","95.19","2.69M","0.16%"
"04/03/2024","95.97","96.50","96.61","95.84","2.28M","-0.59%"
"04/02/2024","96.54","96.14","97.36","95.46","2.31M","0.49%"
"04/01/2024","96.07","96.50","96.59","95.38","1.86M","-0.66%"
"03/28/2024","96.71","96.14","96.85","95.77","2.64M","0.65%"
"03/27/2024","96.09","94.10","96.13","94.03","3.17M","2.58%"
"03/26/2024","93.67","94.80","95.07","93.57","2.82M","-1.23%"
"03/25/2024","94.84","94.88","95.16","94.39","2.02M","0.24%"
"03/22/2024","94.61","95.55","95.73","94.56","2.31M","-0.37%"
"03/21/2024","94.96","95.49","96.05","94.93","2.74M","-0.47%"
"03/20/2024","95.41","95.00","95.72","94.57","2.68M","0.28%"
"03/19/2024","95.14","95.26","95.59","94.55","2.49M","0.21%"
"03/18/2024","94.94","94.85","95.24","94.11","2.74M","0.24%"
"03/15/2024","94.71","94.36","95.66","94.36","6.20M","-0.36%"
"03/14/2024","95.05","95.40","95.82","94.34","3.54M","-0.47%"
"03/13/2024","95.50","95.50","96.30","95.40","3.52M","0.52%"
"03/12/2024","95.01","95.39","96.25","94.69","2.88M","-0.87%"
"03/11/2024","95.84","94.82","95.89","94.50","1.97M","0.95%"
"03/08/2024","94.94","94.48","95.12","93.80","2.27M","0.49%"
"03/07/2024","94.48","94.91","95.13","94.23","2.61M","0.44%"
"03/06/2024","94.07","93.47","94.32","92.97","4.23M","1.49%"
"03/05/2024","92.69","92.78","94.27","92.33","3.68M","0.29%"
"03/04/2024","92.42","90.22","92.56","90.22","3.72M","1.72%"
"03/01/2024","90.86","91.75","91.88","90.09","3.37M","-1.06%"
"02/29/2024","91.83","91.06","92.08","90.76","5.25M","1.20%"
"02/28/2024","90.74","90.75","91.25","90.43","3.26M","-0.12%"
"02/27/2024","90.85","90.64","91.33","90.46","2.96M","0.22%"
"02/26/2024","90.65","92.47","92.57","90.52","3.80M","-2.24%"
"02/23/2024","92.73","92.40","93.33","91.92","2.49M","0.65%"
"02/22/2024","92.13","92.29","92.59","91.30","4.13M","-0.92%"
"02/21/2024","92.99","92.20","93.28","92.02","2.78M","1.14%"
"02/20/2024","91.94","92.00","92.78","91.51","2.59M","0.07%"
"02/16/2024","91.88","92.07","92.33","91.10","4.12M","-0.52%"
"02/15/2024","92.36","90.73","92.41","90.53","2.95M","1.12%"
"02/14/2024","91.34","91.30","91.99","90.93","3.06M","-0.29%"
"02/13/2024","91.61","92.61","92.93","90.30","3.43M","-1.12%"
"02/12/2024","92.65","91.56","92.85","91.17","3.93M","1.05%"
"02/09/2024","91.69","92.26","92.73","91.63","4.64M","-1.04%"
"02/08/2024","92.65","94.74","95.20","91.47","5.58M","-2.98%"
"02/07/2024","95.50","95.47","95.61","94.78","2.47M","0.46%"
"02/06/2024","95.06","95.09","95.41","94.75","2.17M","-0.20%"
"02/05/2024","95.25","95.50","96.07","94.76","3.14M","-1.01%"
"02/02/2024","96.22","96.85","97.10","95.51","2.52M","-1.61%"
"02/01/2024","97.79","95.35","97.85","94.75","2.75M","2.05%"
"01/31/2024","95.83","96.10","96.99","95.30","3.68M","0.31%"
"01/30/2024","95.53","95.69","96.12","94.77","3.20M","-0.25%"
