"Date","Price","Open","High","Low","Vol.","Change %"
"07/16/2024","147.33","144.03","147.57","144.03","3.81M","2.21%"
"07/15/2024","144.15","143.01","145.25","142.75","4.16M","1.26%"
"07/12/2024","142.35","139.00","143.38","138.69","4.80M","2.97%"
"07/11/2024","138.24","135.89","139.05","135.77","3.45M","1.91%"
"07/10/2024","135.65","134.34","135.76","133.81","2.83M","1.02%"
"07/09/2024","134.28","135.26","135.87","133.93","3.12M","-0.92%"
"07/08/2024","135.53","136.35","137.32","135.41","2.77M","-0.60%"
"07/05/2024","136.35","134.87","136.46","134.44","3.24M","0.59%"
"07/03/2024","135.55","135.74","136.49","135.19","1.54M","0.47%"
"07/02/2024","134.91","135.61","135.96","134.06","3.28M","-0.76%"
"07/01/2024","135.95","136.64","138.10","135.56","2.67M","-0.66%"
"06/28/2024","136.85","136.18","137.20","135.70","6.61M","0.75%"
"06/27/2024","135.83","137.99","137.99","135.19","3.73M","-1.68%"
"06/26/2024","138.15","136.48","138.95","135.10","6.10M","2.82%"
"06/25/2024","134.36","138.04","138.04","134.05","4.89M","-3.06%"
"06/24/2024","138.60","137.80","139.64","137.14","3.70M","1.46%"
"06/21/2024","136.60","136.62","138.59","136.29","9.24M","-0.20%"
"06/20/2024","136.87","134.02","137.49","133.63","4.17M","1.99%"
"06/18/2024","134.20","136.30","137.24","133.92","4.10M","-1.21%"
"06/17/2024","135.85","135.51","136.29","134.68","4.12M","0.15%"
"06/14/2024","135.65","134.10","135.70","132.90","3.80M","0.56%"
"06/13/2024","134.89","136.32","136.32","133.81","4.94M","-1.13%"
"06/12/2024","136.43","138.48","138.57","136.21","3.48M","-0.67%"
"06/11/2024","137.35","136.76","137.98","136.45","2.66M","-0.24%"
"06/10/2024","137.68","136.77","138.06","136.41","3.63M","0.03%"
"06/07/2024","137.64","136.90","139.59","136.38","3.21M","0.06%"
"06/06/2024","137.56","137.01","137.72","135.85","2.85M","-0.01%"
"06/05/2024","137.57","136.15","137.69","135.20","3.11M","1.43%"
"06/04/2024","135.63","137.91","138.31","135.50","3.87M","-2.02%"
"06/03/2024","138.42","139.63","139.79","137.35","2.73M","-0.37%"
"05/31/2024","138.93","137.55","139.07","136.12","5.89M","1.51%"
"05/30/2024","136.86","134.29","136.99","133.58","4.08M","1.82%"
"05/29/2024","134.41","136.32","136.92","134.30","4.00M","-2.30%"
"05/28/2024","137.58","138.00","139.22","136.24","3.31M","-0.78%"
"05/24/2024","138.66","140.29","140.49","137.93","3.00M","-0.32%"
"05/23/2024","139.10","143.01","143.18","139.03","4.44M","-3.25%"
"05/22/2024","143.77","144.42","144.90","142.78","3.59M","-1.13%"
"05/21/2024","145.42","147.44","147.72","145.12","2.75M","-1.47%"
"05/20/2024","147.59","148.32","149.57","147.29","1.81M","-1.11%"
"05/17/2024","149.24","149.58","149.71","148.18","1.96M","-0.28%"
"05/16/2024","149.66","148.50","150.03","147.38","2.30M","1.16%"
"05/15/2024","147.94","148.46","149.00","147.79","2.70M","0.00%"
"05/14/2024","147.94","151.41","153.42","147.88","3.60M","-1.77%"
"05/13/2024","150.60","147.85","150.78","147.85","4.19M","2.19%"
"05/10/2024","147.37","147.01","147.99","146.51","2.50M","-0.47%"
"05/09/2024","148.06","148.08","148.39","147.21","2.51M","0.20%"
"05/08/2024","147.77","146.12","147.93","145.92","2.80M","0.46%"
"05/07/2024","147.09","147.37","147.75","146.37","3.40M","0.29%"
"05/06/2024","146.67","147.57","147.81","146.16","2.07M","0.16%"
"05/03/2024","146.43","147.95","148.20","146.42","2.04M","-0.54%"
"05/02/2024","147.22","147.48","147.81","146.58","2.04M","0.89%"
"05/01/2024","145.92","147.29","148.14","145.37","2.84M","-1.06%"
"04/30/2024","147.48","147.54","148.21","146.65","2.40M","-0.72%"
"04/29/2024","148.55","148.26","150.88","147.82","2.65M","0.65%"
"04/26/2024","147.59","146.84","148.72","146.84","2.61M","0.14%"
"04/25/2024","147.39","147.95","148.43","145.28","3.55M","0.53%"
"04/24/2024","146.62","147.93","147.96","143.78","5.28M","-1.51%"
"04/23/2024","148.87","146.00","149.74","145.25","6.37M","2.41%"
"04/22/2024","145.36","143.21","146.07","142.56","4.58M","1.81%"
"04/19/2024","142.77","143.15","144.12","142.55","5.12M","0.02%"
"04/18/2024","142.74","143.08","143.31","141.88","3.43M","0.34%"
"04/17/2024","142.25","142.50","143.42","141.35","4.17M","-0.45%"
"04/16/2024","142.89","144.54","144.71","142.71","4.20M","-1.35%"
"04/15/2024","144.85","145.87","146.54","143.43","3.27M","-0.04%"
"04/12/2024","144.91","148.05","148.30","144.35","4.12M","-2.75%"
"04/11/2024","149.01","147.44","149.22","147.10","2.23M","1.19%"
"04/10/2024","147.26","148.23","148.50","146.10","4.02M","-2.20%"
"04/09/2024","150.57","149.53","151.17","149.25","2.66M","0.31%"
"04/08/2024","150.11","151.88","152.23","150.01","3.20M","-0.83%"
"04/05/2024","151.36","149.69","151.71","148.18","3.37M","0.91%"
"04/04/2024","150.00","153.30","154.29","149.52","3.69M","-1.49%"
"04/03/2024","152.27","150.79","152.36","149.20","4.31M","2.09%"
"04/02/2024","149.15","147.66","151.00","147.43","4.94M","1.04%"
"04/01/2024","147.62","149.14","149.97","146.32","5.42M","-0.68%"
"03/28/2024","148.63","147.27","149.05","146.64","5.20M","0.88%"
"03/27/2024","147.33","144.39","147.59","144.02","7.08M","2.46%"
"03/26/2024","143.79","157.35","157.99","143.03","18.21M","-8.16%"
"03/25/2024","156.57","155.45","157.30","155.02","3.81M","0.19%"
"03/22/2024","156.27","158.64","158.95","156.03","3.94M","0.61%"
"03/21/2024","155.32","155.16","156.08","154.30","4.04M","0.36%"
"03/20/2024","154.76","152.50","154.82","152.01","2.86M","1.02%"
"03/19/2024","153.20","150.91","153.65","150.21","4.21M","1.00%"
"03/18/2024","151.69","154.08","154.34","151.49","5.18M","-1.10%"
"03/15/2024","153.37","153.43","154.71","152.93","8.82M","-0.34%"
"03/14/2024","153.89","154.50","154.72","152.65","4.10M","-0.56%"
"03/13/2024","154.76","157.75","158.91","154.55","4.24M","-1.66%"
"03/12/2024","157.38","154.79","157.66","154.36","3.88M","1.70%"
"03/11/2024","154.75","153.89","155.23","153.54","3.27M","0.51%"
"03/08/2024","153.96","153.93","155.20","152.87","3.45M","0.36%"
"03/07/2024","153.41","153.23","154.87","152.47","3.51M","0.56%"
"03/06/2024","152.55","151.00","153.05","150.37","3.47M","1.93%"
"03/05/2024","149.66","150.08","151.56","149.00","3.61M","-0.63%"
"03/04/2024","150.61","149.08","152.24","148.65","4.56M","1.72%"
"03/01/2024","148.06","148.01","148.60","146.84","2.94M","-0.13%"
"02/29/2024","148.26","148.84","149.55","147.75","3.34M","0.33%"
"02/28/2024","147.77","147.43","148.37","147.06","2.26M","-0.34%"
"02/27/2024","148.27","147.50","148.82","147.37","2.38M","0.52%"
"02/26/2024","147.50","148.08","148.26","146.56","3.05M","-0.76%"
"02/23/2024","148.63","149.95","150.40","148.55","2.41M","-0.73%"
"02/22/2024","149.73","147.80","149.88","147.19","3.03M","0.98%"
"02/21/2024","148.27","148.80","149.43","147.03","3.02M","-0.25%"
"02/20/2024","148.64","147.88","149.77","147.03","4.26M","0.15%"
"02/16/2024","148.41","145.66","148.99","144.93","5.44M","0.97%"
"02/15/2024","146.98","145.27","147.49","144.17","3.86M","1.91%"
"02/14/2024","144.22","145.20","145.89","143.47","3.83M","-0.47%"
"02/13/2024","144.90","146.01","146.70","143.30","3.71M","-1.73%"
"02/12/2024","147.45","146.50","147.95","146.35","3.25M","0.81%"
"02/09/2024","146.26","147.70","147.83","145.91","2.83M","-1.12%"
"02/08/2024","147.92","146.80","148.08","145.85","3.32M","0.46%"
"02/07/2024","147.24","146.08","147.79","145.09","3.99M","0.90%"
"02/06/2024","145.92","141.71","146.43","141.35","7.57M","4.92%"
"02/05/2024","139.08","141.26","141.26","138.90","4.54M","-1.95%"
"02/02/2024","141.85","141.88","142.39","139.55","4.34M","-0.39%"
"02/01/2024","142.41","142.00","142.70","139.60","6.77M","0.36%"
"01/31/2024","141.90","144.81","145.59","141.90","10.91M","-2.18%"
"01/30/2024","145.06","146.80","149.50","144.57","16.98M","-8.20%"
